Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HORVU.MOREX.r3.2HG0108010,4.247008460401648,-2.3409846828731093,3.8195069156665293,-0.6129023286411805,0.5399409234465904,
HORVU.MOREX.r3.2HG0108020,4388.160497968947,1.313809638814866,0.31087549155168903,4.226160229798687,2.377127564465596e-05,0.0003747788288429155
HORVU.MOREX.r3.2HG0108040,837.3770892606984,-0.19428420947333708,0.3988610422529827,-0.4870974823109193,0.6261892505265878,0.8776854696196791
HORVU.MOREX.r3.2HG0108090,6.313608567474361,-4.242112682780366,3.2301992796768983,-1.3132665558654588,0.18909314386107245,
HORVU.MOREX.r3.2HG0108120,952.8486507835911,-0.1935731784694909,0.3756224098009912,-0.5153398024682501,0.6063155899425221,0.8677664569075203
HORVU.MOREX.r3.2HG0108130,54.984203935169035,-0.7533731495914173,1.08679473581565,-0.6932064765900835,0.4881799843095177,0.8051404797405503
HORVU.MOREX.r3.2HG0108190,364.3494033877402,-0.1481205654689198,0.4906355057320399,-0.30189532501917155,0.7627318596850026,0.9356117762078511
HORVU.MOREX.r3.2HG0108200,767.169662778066,-0.2037941834910396,0.4034140469938048,-0.5051737414938584,0.6134368116051441,0.8710745723766664
HORVU.MOREX.r3.2HG0108240,933.5194569610195,2.0685573580729293,0.3923759196283341,5.271876419002231,1.3503599525962116e-07,3.32359580674343e-06
HORVU.MOREX.r3.2HG0108280,520.0907402111698,0.23034074546220237,0.45504374045399854,0.5061947346696621,0.6127199509517278,0.8710555801760658
HORVU.MOREX.r3.2HG0108310,2.9991496286885955,4.420642766440928,5.897815100572306,0.7495390565926631,0.4535323673642788,
HORVU.MOREX.r3.2HG0108350,5.130371865361403,-0.6861493124058181,3.5770378794987105,-0.19182053294386017,0.8478827866633905,
HORVU.MOREX.r3.2HG0108360,187.9810988827645,-0.5312304187892259,0.6166603140383786,-0.8614636075902302,0.38898275641811064,0.73263606731201
HORVU.MOREX.r3.2HG0108390,10.058456376016055,0.7652594877684838,2.3374437300409583,0.32739161928619964,0.7433717043622221,
HORVU.MOREX.r3.2HG0108450,2318.9880168924124,1.486141057888739,0.34018274334918885,4.36865504480706,1.250140491113747e-05,0.0002110338170453832
HORVU.MOREX.r3.2HG0108460,492.94969382573635,0.06770972259867156,0.44987399844489895,0.1505081930334427,0.8803636872625188,0.9715801321753426
HORVU.MOREX.r3.2HG0108540,648.745357962799,0.258524175874702,0.4175816173852558,0.619098554896852,0.5358514352748974,0.8322629355310489
HORVU.MOREX.r3.2HG0108550,95.15533991675453,0.1936559145372712,0.8286121256999185,0.23371117623181345,0.8152092106405842,0.950220030788662
HORVU.MOREX.r3.2HG0108630,1165.7694682428948,0.4765747513249435,0.36636712788383646,1.3008119862654555,0.19332281814710228,0.5195323695069801
HORVU.MOREX.r3.2HG0108640,4.846737963363012,-1.291776835681992,3.2313360835152287,-0.3997655466022354,0.689329209246689,
HORVU.MOREX.r3.2HG0108680,560.177463562844,1.7612623974021775,0.6193112634372085,2.843904997992581,0.004456433322247571,0.03413194944152218
